Memphis, TN 1-2-19 Viking
Newport News, VA 1-5-19 Cowboy
North Judson, IN 1-17-19 Indian
Indianapolis, IN 1-17-19 Bunyan
Metropolis, IL 2-28-19 Big John
Yorktown, IN 3-5-19 Cowboy
Dade City, FL 3-9-19 Bunyan
Cape Coral, FL 3-9-19 Big John
Bradenton, FL 3-9-19 Uniroyal Gal
Tampa, FL 3-9-19 Mini (gone)
Carmi, IL 4-27-19 Big John
Chattanooga, TN 4-19-19 Cowboy
Montpelier, IN 5-14-19 Indian
Parkersburg, WV 5-20-19 Indian
Bossier City, LA 6-26-19 Cowboy
Livingston, IL 7-23-19 Mini
Livingston, IL 7-23-19 Uniroyal Gal (gone)
Niota, IL 7-23-19 Viking
Foristell, MO 7-23-19 Bunyan
Peoria, IL 7-24-19 Uniroyal Gal
Brooklyn, MI 8-20-19 Bunyan
Chesterfield Township, MI 8-28-19 Cowboy
Edneyville, NC 8-31-19 Indian
Flagstaff, AZ 9-9-19 Bunyan
Bangor, MI 9-25-19 Viking
Monroe, OH 9-29-19 Mini
Buena Vista, VA 10-18-19 Cowboy
Unger, WV 10-18-19 Uniroyal Gal
Unger, WV 10-18-19 Bunyan
Unger, WV 10-18-19 Big John
Unger, WV 10-18-19 Cowboy
Coopersburg, PA 10-18-19 Cowboy
Phoenixville, PA 10-18-19 Halfwit
Jersey City, NJ 10-18-19 Bunyan
Riverhead, NY 10-19-19 Indian
Blackwood, NJ 10-20-19 Uniroyal Gal
Winslow, NJ 10-20-19 Viking
Woodstown, NJ 10-20-19 Cowboy
Dallas, GA 11-27-19 Bunyan
Beaumont, TX 11-30-19 Halfwit
San Antonio, TX 12-1-19 Indian (gone)
Fredericksburg, TX 12-1-19 Cowboy
Boerne, TX 12-1-19 Cowboy
Waxahachie, TX 12-2-19 Cowboy
Dallas, TX 12-2-19 Cowboy
Texarkana, TX 12-2-19 Mini
Burbank, IL 2-11-20 Frankenstein
Chicago, IL 2-11-20 Indian
Crystal Lake, IL 2-11-20 Indian
Crystal Lake, IL 2-11-20 Bunyan
Libertyville, IL 2-11-20 Mini
Atlanta, IL 3-3-20 Cowboy
Springfield, IL 3-3-20 Bunyan
Springfield, IL 3-3-20 Viking
Normal, IL 3-10-20 Mini
Macon, IL 3-10-20 Mini
Dallas, GA 8-5-20 Halfwit
Richwood, WV 10-10-20 Mini
Greensburg, PA 10-10-20 Headless
Rockwood, PA 10-10-20 Cowboy
Uniontown, PA 10-10-20 Bunyan
Elkon, KY 11-19-20 Bunyan
Wilson, NC 3-21-21 Bunyan
Saint Roberts, MO 3-30-21 Bunyan
Crownsville, MD 6-20-21 Bunyan
Jensen Beach, FL 10-3-21 Viking
Springfield, MO 5-31-22 Cowboy
Afton, OK 5-31-22 Cowboy
Afton, OK 5-31-22 Cowboy
Tulsa, OK 5-31-22 Cowboy
Calumet, OK 6-1-22 Indian
Amarillo, TX 6-2-22 Waving Giant
Gallup, NM 6-3-22 Cowboy
Mentone, CA 6-6-22 Bunyan
Los Angeles, CA 6-6-22 Chicken Boy
Van Nuys, CA 6-7-22 Cowboy
Malibu, CA 6-7-22 Cowboy
Los Angeles, CA 6-7-22 Bunyan
East Los Angeles, CA 6-7-22 Cowboy (gone)
Carson, CA 6-7-22 Cowboy
Joshua Tree, CA 6-8-22 Bunyan
Phoenix, AZ 6-9-22 Bunyan (gone)
Picacho, AZ 6-9-22 Boots
Tuscon, AZ 6-9-22 Bunyan
Tuscon, AZ 6-9-22 Cowboy
Hatch, NM 6-10-22 Cowboy
Hatch, NM 6-10-22 Mini
Las Cruces, NM 6-10-22 Cowboy
El Paso, TX 6-10-22 Uniroyal Gal
Lamesa, TX 6-11-22 Uniroyal Gal
